bitlength,duration_s,exchange_success
2048,0.00485358,1
4096,0.0335208,1
8192,0.223113,1
2048,0.00490971,1
4096,0.0335496,1
8192,0.223275,1
2048,0.00475821,1
4096,0.0336588,1
8192,0.22328,1
2048,0.00487487,1
4096,0.0336659,1
8192,0.223794,1
2048,0.00483196,1
4096,0.0335908,1
8192,0.223425,1
2048,0.00487771,1
4096,0.0334651,1
8192,0.2251,1
2048,0.00492671,1
4096,0.0335692,1
8192,0.222851,1
2048,0.00486554,1
4096,0.0336292,1
8192,0.223206,1
2048,0.00483379,1
4096,0.0335105,1
8192,0.223076,1
2048,0.00487642,1
4096,0.0333998,1
8192,0.223778,1
2048,0.00497838,1
4096,0.0335801,1
8192,0.223119,1
2048,0.00481796,1
4096,0.0336181,1
8192,0.22519,1
2048,0.00494262,1
4096,0.0335406,1
8192,0.223437,1
2048,0.00492317,1
4096,0.0337469,1
8192,0.224089,1
2048,0.00491517,1
4096,0.0336639,1
8192,0.237847,1
2048,0.00497942,1
4096,0.033725,1
8192,0.223724,1
2048,0.00493692,1
4096,0.0337009,1
8192,0.22392,1
2048,0.00494662,1
4096,0.0335578,1
8192,0.225253,1
2048,0.00488592,1
4096,0.0336268,1
8192,0.224998,1
2048,0.00482583,1
4096,0.0334406,1
8192,0.223484,1
2048,0.00487137,1
4096,0.0334262,1
8192,0.237407,1
2048,0.00483654,1
4096,0.0335523,1
8192,0.223521,1
2048,0.00486629,1
4096,0.0334316,1
8192,0.225862,1
2048,0.00486375,1
4096,0.0338722,1
8192,0.22394,1
2048,0.00499354,1
4096,0.0335968,1
8192,0.223185,1
2048,0.00485775,1
4096,0.033528,1
8192,0.223107,1
2048,0.00486692,1
4096,0.0335139,1
8192,0.223407,1
2048,0.00482938,1
4096,0.0334606,1
8192,0.22526,1
2048,0.00493892,1
4096,0.0335799,1
8192,0.225107,1
2048,0.00498242,1
4096,0.0334941,1
8192,0.222974,1
2048,0.00484904,1
4096,0.0336973,1
8192,0.223606,1
2048,0.00485075,1
4096,0.0335569,1
8192,0.223213,1
2048,0.00482038,1
4096,0.0335218,1
8192,0.223058,1
2048,0.00473229,1
4096,0.0337356,1
8192,0.225427,1
2048,0.0048725,1
4096,0.0335803,1
8192,0.225178,1
2048,0.00479237,1
4096,0.033525,1
8192,0.223646,1
2048,0.00484362,1
4096,0.0337527,1
8192,0.223023,1
2048,0.00483638,1
4096,0.0336902,1
8192,0.223491,1
2048,0.00486017,1
4096,0.0335667,1
8192,0.223364,1
2048,0.00487258,1
4096,0.0337094,1
8192,0.223836,1
2048,0.00482242,1
4096,0.0338075,1
8192,0.237848,1
2048,0.0152319,1
4096,0.0513385,1
8192,0.24347,1
2048,0.00535054,1
4096,0.0385997,1
8192,0.224134,1
2048,0.00494054,1
4096,0.0342209,1
8192,0.224647,1
2048,0.00494783,1
4096,0.0333958,1
8192,0.223434,1
2048,0.00498171,1
4096,0.0337825,1
8192,0.223429,1
2048,0.00483558,1
4096,0.0336238,1
8192,0.225026,1
2048,0.00496525,1
4096,0.0335288,1
8192,0.223077,1
2048,0.00493304,1
4096,0.03354,1
8192,0.224434,1
2048,0.00489842,1
4096,0.0337135,1
8192,0.224909,1
2048,0.0155395,1
4096,0.036762,1
8192,0.225297,1
2048,0.00484658,1
4096,0.0335816,1
8192,0.223724,1
2048,0.00489192,1
4096,0.0336074,1
8192,0.223864,1
2048,0.00481917,1
4096,0.0335698,1
8192,0.225155,1
2048,0.00492388,1
4096,0.0334672,1
8192,0.225204,1
2048,0.00478263,1
4096,0.0335068,1
8192,0.223031,1
2048,0.00480717,1
4096,0.0334374,1
8192,0.224996,1
2048,0.0048515,1
4096,0.0336629,1
8192,0.223549,1
2048,0.00479308,1
4096,0.0334381,1
8192,0.225214,1
2048,0.00485704,1
4096,0.0334827,1
8192,0.223141,1
2048,0.00492329,1
4096,0.0334065,1
8192,0.223054,1
2048,0.00494288,1
4096,0.033554,1
8192,0.224014,1
2048,0.00502504,1
4096,0.0335106,1
8192,0.223272,1
2048,0.00499646,1
4096,0.0338804,1
8192,0.224217,1
2048,0.00488917,1
4096,0.0334789,1
8192,0.222989,1
2048,0.00484667,1
4096,0.0335796,1
8192,0.223232,1
2048,0.00475225,1
4096,0.0335907,1
8192,0.223149,1
